x,y,interior,uz,uz_exact,uz_error,ur,ur_exact,ur_error,p,p_exact,p_error,mu_t,mu_t_exact,mu_t_error,mu_eff,mu_eff_exact,mu_eff_error
0.09375,0.90625,False,-0.0037568496484655,-0.003776777472012327,1.9927823546826966e-05,-0.0039962551422025,-0.003995976698206505,-2.7844399599560865e-07,0.09872633151119,0.076995849609375,0.021730481901814994,0.0060863010020023,0.005965365561542786,0.00012093544045951431,0.016086301002002,0.015965365561542787,0.00012093544045921334
0.09375,0.96875,False,-0.0017454862701724,-0.001612458750969381,-0.00013302751920301887,3.6489882946826e-05,-0.0005062506133981515,0.0005427404963449775,0.10980302150152,0.087982177734375,0.021820843767145007,0.0031144905526379,0.0030029205169034706,0.00011157003573442938,0.013114490552638,0.01300292051690347,0.00011157003573452999
0.15625,0.03125,False,0.034579207209935,0.034625741454874515,-4.653424493951397e-05,-0.0057774394077712,-0.005653766729665222,-0.0001236726781059785,0.023076286857795,0.000152587890625,0.02292369896717,0.024931621095458,0.025035160624088677,-0.00010353952863067714,0.034931621095458,0.03503516062408868,-0.00010353952863068061
0.15625,0.09375,False,0.033575898948583,0.03354740306349413,2.849588508886669e-05,-0.016832597242336,-0.016697058072168147,-0.00013553917016785252,0.024232311084495,0.001373291015625,0.02285902006887,0.024211860355129,0.024377944759060122,-0.00016608440393112156,0.034211860355129,0.03437794475906012,-0.00016608440393112156
0.15625,0.15625,True,0.031552047326385,0.03142891632705869,0.00012313099932631522,-0.02706185459313,-0.0269579956693633,-0.00010385892376670036,0.026486733690484,0.003814697265625,0.022672036424859,0.022924469550982,0.023098424514804736,-0.00017395496382273737,0.032924469550982,0.033098424514804735,-0.0001739549638227339
0.15625,0.21875,True,0.028537111404743,0.028346661338218837,0.0001904500665241629,-0.036016406463456,-0.03594958570829476,-6.682075516123431e-05,0.029969902237583,0.007476806640625,0.022493095596958,0.02111408145302,0.021268933811263126,-0.0001548523582431266,0.03111408145302,0.031268933811263125,-0.0001548523582431266
0.15625,0.28125,True,0.024646013521864,0.02441520823595056,0.00023080528591344282,-0.043260632380781,-0.04323669740188052,-2.39349789004778e-05,0.03470279349142,0.012359619140625,0.022343174350794998,0.018882571285895,0.019005315143646322,-0.0001227438577513229,0.028882571285895,0.02900531514364632,-0.00012274385775131944
0.15625,0.34375,True,0.020034934393293,0.019787317205555155,0.0002476171877378447,-0.048436003187365,-0.048456808199262014,2.0805011897016834e-05,0.040672432570695,0.018463134765625,0.02220929780507,0.016400326654469,0.016479019010875236,-7.869235640623612e-05,0.026400326654469,0.026479019010875238,-7.869235640623612e-05
0.15625,0.40625,True,0.01488718353882,0.014653938478659256,0.00023324506016074442,-0.05128571545607,-0.05134074899615371,5.5033540083709864e-05,0.04786873189715,0.025787353515625,0.022081378381524998,0.013913766314412,0.01393842623419008,-2.4659919778081615e-05,0.023913766314412,0.023938426234190083,-2.465991977808335e-05
0.15625,0.46875,True,0.0094265222052183,0.009244212333214818,0.00018230987200348187,-0.051671151966175,-0.05173344934519264,6.229737901763954e-05,0.056292405018381,0.034332275390625,0.021960129627756002,0.011755194618052,0.011734093274711992,2.1101343340008266e-05,0.021755194618052,0.021734093274711992,2.1101343340008266e-05
0.15625,0.53125,True,0.0039455353769256,0.003825469093499123,0.000120066283426477,-0.049593615928829,-0.04961468266628799,2.1066737458989848e-05,0.065942310888546,0.044097900390625,0.021844410497921005,0.010311662242064,0.010290804566651041,2.0857675412959062e-05,0.020311662242064,0.02029080456665104,2.0857675412957327e-05
0.15625,0.59375,True,-0.0012064865370873,-0.001296770869885222,9.028433279792197e-05,-0.045197660939662,-0.04511981145697064,-7.784948269136394e-05,0.076815673322617,0.055084228515625,0.021731444806992004,0.0098366116270897,0.00987972289821034,-4.311127112064002e-05,0.01983661162709,0.019879722898210342,-4.311127112034338e-05
0.15625,0.65625,True,-0.0056814706814052,-0.005778797140010283,9.73264586050836e-05,-0.038755550952052,-0.03856053250274272,-0.00019501844930928242,0.088924003299928,0.067291259765625,0.021632743534303,0.010151318986314,0.010281884797155026,-0.00013056581084102542,0.020151318986314,0.020281884797155026,-0.00013056581084102542
0.15625,0.71875,True,-0.0091221885104751,-0.009238709253622801,0.00011652074314770153,-0.030726142713657,-0.030445622087427182,-0.0002805206262298174,0.10228214696256,0.080718994140625,0.021563152821934994,0.010691505915031,0.01087460583585352,-0.00018309992082252147,0.020691505915031,0.020874605835853523,-0.00018309992082252147
0.15625,0.78125,True,-0.011149740031173,-0.01125641670114419,0.00010667666997118963,-0.021803055714506,-0.021501681203517364,-0.0003013745109886369,0.11690254957091,0.095367431640625,0.021535117930284994,0.010831306153108,0.01100545234593337,-0.00017414619282536854,0.020831306153108,0.02100545234593337,-0.00017414619282537028
0.15625,0.84375,True,-0.01135397843431,-0.011373638926670537,1.9660492360537227e-05,-0.012901139951776,-0.012693880762526533,-0.0002072591892494681,0.13282663733489,0.111236572265625,0.021590065069265002,0.010078419786942,0.010159326840379268,-8.090705343726835e-05,0.020078419786942,0.020159326840379268,-8.090705343726662e-05
