id,mu_eff_out,mu_t_out,p,ur,uz,x,y,z
644,0.012354323197613,0.0023543231976132,0.069006113073347,-0.0090746560761139,-0.00065653783929029,0.140625,0.640625,0
676,0.012406820637219,0.0024068206372194,0.074765301821491,-0.0083283616585144,-0.0011252515484796,0.140625,0.671875,0
708,0.012471352830731,0.0024713528307308,0.080800245433689,-0.0074729752377845,-0.0015349676088138,0.140625,0.703125,0
740,0.01252575681774,0.0025257568177396,0.087110997399609,-0.0065317816429678,-0.0018727790784155,0.140625,0.734375,0
772,0.012549465316831,0.0025494653168311,0.093697599333956,-0.0055319956634775,-0.0021258502493138,0.140625,0.765625,0
804,0.012524282135521,0.0025242821355214,0.10056008597189,-0.0045047434890127,-0.0022813780699069,0.140625,0.796875,0
836,0.01243430338918,0.0024343033891801,0.10769822838275,-0.003485179487674,-0.0023265517747388,0.140625,0.828125,0
868,0.012266498651322,0.0022664986513216,0.11511105534995,-0.002513041652808,-0.0022485925353188,0.140625,0.859375,0
900,0.012016375486619,0.0020163754866192,0.12279833839261,-0.0016327384227067,-0.0020351471130248,0.140625,0.890625,0
932,0.011701964678376,0.0017019646783757,0.13076801625415,-0.00088797060135974,-0.0016749933029665,0.140625,0.921875,0
964,0.011367640904135,0.0013676409041345,0.13903701250365,-0.00030950114449902,-0.0011559952301578,0.140625,0.953125,0
996,0.011111337558242,0.0011113375582425,0.14756402734335,5.4278446860111e-05,-0.00045405837575944,0.140625,0.984375,0
4,0.011604371197496,0.0016043711974959,0.011805779074756,-1.0642157599362e-05,0.00029650910241804,0.140625,0.015625,0
36,0.011874262590518,0.0018742625905184,0.011955041234749,-0.00024296871345921,0.001490855990066,0.140625,0.046875,0
68,0.012352882075213,0.0023528820752129,0.012450603924819,-0.00075931365552244,0.0024814093089337,0.140625,0.078125,0
100,0.012839828335347,0.0028398283353474,0.013243682733123,-0.0014794618843278,0.0032706660693831,0.140625,0.109375,0
132,0.013256061293301,0.0032560612933009,0.014317355140154,-0.0023463709526351,0.0038715419527161,0.140625,0.140625,0
164,0.013576713615662,0.0035767136156618,0.015668183894311,-0.0033117924491784,0.0042987956892385,0.140625,0.171875,0
196,0.013797283348997,0.003797283348997,0.017295523837159,-0.0043314529003333,0.0045669709821617,0.140625,0.203125,0
228,0.013922095603709,0.0039220956037087,0.019198956462926,-0.0053649031614901,0.0046902714248027,0.140625,0.234375,0
260,0.01395949844114,0.0039594984411403,0.021378148823723,-0.0063757977765959,0.0046826459869635,0.140625,0.265625,0
292,0.01391986495768,0.0039198649576804,0.023832889493208,-0.0073319334627687,0.0045578634084638,0.140625,0.296875,0
324,0.013814838343949,0.0038148383439495,0.026563048546935,-0.0082052074803891,0.0043295695655249,0.140625,0.328125,0
356,0.013657108760606,0.003657108760606,0.029568539672753,-0.0089715824497588,0.0040113323136874,0.140625,0.359375,0
388,0.013460436696728,0.0034604366967277,0.032849305294291,-0.0096110608186915,0.0036166787134876,0.140625,0.390625,0
420,0.013239795144818,0.0032397951448177,0.03640531470212,-0.010107660289275,0.0031591311514012,0.140625,0.421875,0
452,0.013011505512218,0.0030115055122178,0.040236565827807,-0.010449388128847,0.0026522478796558,0.140625,0.453125,0
484,0.012793135368387,0.0027931353683869,0.044343083000069,-0.010628219006841,0.0021096678484218,0.140625,0.484375,0
516,0.012602728627488,0.0026027286274881,0.048724904446105,-0.010640085240421,0.0015451442939717,0.140625,0.515625,0
548,0.012456791719191,0.0024567917191905,0.053382066075638,-0.010484878950259,0.00097252584164232,0.140625,0.546875,0
581,0.012158546613717,0.0021585466137167,0.068759992297713,-0.010931686866616,0.00056445446996103,0.171875,0.578125,0
613,0.012156986300852,0.0021569863008523,0.0751280930413,-0.010422470364758,-0.00019472622589265,0.171875,0.609375,0
645,0.012226730804659,0.0022267308046594,0.081832526220856,-0.0097585908996323,-0.00090904912607197,0.171875,0.640625,0
677,0.01234017132025,0.0023401713202502,0.088873436321268,-0.008956428074972,-0.0015602004051527,0.171875,0.671875,0
709,0.012465997059952,0.0024659970599521,0.09625096543201,-0.0080366842941942,-0.0021299596025996,0.171875,0.703125,0
741,0.012575468586371,0.0025754685863713,0.10396521509989,-0.0070244020766765,-0.0026001927461621,0.171875,0.734375,0
773,0.012644540976924,0.0026445409769244,0.11201627837553,-0.0059489228036215,-0.0029528398775501,0.171875,0.765625,0
805,0.012653763143291,0.0026537631432914,0.12040424576909,-0.0048438219470306,-0.0031698900934732,0.171875,0.796875,0
837,0.012587582685952,0.0025875826859515,0.12912888932861,-0.0037470197671496,-0.0032333459745824,0.171875,0.828125,0
869,0.012435096843643,0.0024350968436431,0.13818908418836,-0.0027014320634079,-0.0031252486357009,0.171875,0.859375,0
901,0.01219781726615,0.0021978172661497,0.14758462335388,-0.0017550739942549,-0.0028280449558481,0.171875,0.890625,0
933,0.011908429430412,0.0019084294304115,0.15732520552289,-0.00095461797684202,-0.0023254625451872,0.171875,0.921875,0
965,0.011635910954165,0.0016359109541649,0.16743131741337,-0.00033071634220272,-0.0016010201773377,0.171875,0.953125,0
997,0.011495510339406,0.0014955103394061,0.17785245250417,6.5292228863879e-05,-0.00062643117161713,0.171875,0.984375,0
5,0.012167035922687,0.0021670359226866,0.011845658457495,-1.8381617378291e-05,0.00047778436951027,0.171875,0.015625,0
37,0.012344503565175,0.0023445035651747,0.012037045137765,-0.0002746681376144,0.0021158917987565,0.171875,0.046875,0
69,0.012731972648927,0.0027319726489269,0.012646526294687,-0.00083304921606579,0.0034743436118135,0.171875,0.078125,0
101,0.013170637569959,0.0031706375699586,0.013619295515375,-0.0016088077983624,0.0045599405519403,0.171875,0.109375,0
133,0.013562402960965,0.0035624029609652,0.014935230178065,-0.0025412186324072,0.0053875709575838,0.171875,0.140625,0
165,0.013866734862239,0.0038667348622391,0.016589910858837,-0.003578816978076,0.0059759865455529,0.171875,0.171875,0
197,0.014070299842636,0.0040702998426362,0.018582490871681,-0.0046742808640577,0.0063446242053468,0.171875,0.203125,0
229,0.014172993786385,0.0041729937863846,0.020912489795747,-0.0057842737893922,0.006512856705952,0.171875,0.234375,0
261,0.014181166367434,0.0041811663674336,0.023579526185661,-0.0068697955856506,0.0064998865378167,0.171875,0.265625,0
293,0.014104548213541,0.0041045482135414,0.026583353450791,-0.0078962640540239,0.0063247653266795,0.171875,0.296875,0
325,0.013954975409995,0.0039549754099948,0.029923821720111,-0.008833492174994,0.0060064304768717,0.171875,0.328125,0
357,0.013745946219458,0.0037459462194576,0.033600834699052,-0.0096556653763442,0.0055637399584466,0.171875,0.359375,0
389,0.01349261451284,0.00349261451284,0.037614328318182,-0.010341328637437,0.0050155033497671,0.171875,0.390625,0
421,0.013212074186846,0.0032120741868457,0.041964263332284,-0.01087337396677,0.0043805122851916,0.171875,0.421875,0
453,0.012923834289984,0.0029238342899839,0.046650622717594,-0.011239021686772,0.0036775743039558,0.171875,0.453125,0
485,0.01265023511204,0.0026502351120403,0.051673404132686,-0.011429792948796,0.0029255500696324,0.171875,0.484375,0
517,0.012416093071513,0.0024160930715134,0.057032596579897,-0.01144147426085,0.0021433787566482,0.171875,0.515625,0
549,0.012246105545233,0.0022461055452335,0.062728150930732,-0.011274065832146,0.0013500464423149,0.171875,0.546875,0
582,0.011992065307082,0.0019920653070815,0.079205206782344,-0.011249946416046,0.00073125484579678,0.203125,0.578125,0
614,0.012012395986971,0.0020123959869713,0.086733228547822,-0.010725964172678,-0.00025000427161607,0.203125,0.609375,0
646,0.012116972030463,0.0021169720304634,0.094658381077072,-0.010042828893862,-0.0011739302682792,0.203125,0.640625,0
678,0.01226959018655,0.0022695901865502,0.10298085893903,-0.0092173106476347,-0.0020167465435054,0.203125,0.671875,0
710,0.012432660459099,0.0024326604590989,0.11170087291787,-0.0082707123802201,-0.0027546821744759,0.203125,0.703125,0
742,0.012574459360795,0.0025744593607954,0.1208185759784,-0.0072288427927689,-0.0033640551982614,0.203125,0.734375,0
774,0.012670263981657,0.0026702639816565,0.13033410292445,-0.0061219432027675,-0.0038212921843069,0.203125,0.765625,0
806,0.01270137872652,0.00270137872652,0.14024758497849,-0.0049846016501105,-0.0041029075904116,0.203125,0.796875,0
838,0.012654202549762,0.0026542025497621,0.15055878544407,-0.0038558766064945,-0.0041854619875426,0.203125,0.828125,0
870,0.012521636924173,0.0025216369241732,0.16126642674636,-0.0027800510107095,-0.0040455600797227,0.203125,0.859375,0
902,0.012313334036139,0.0023133340361389,0.17237030163398,-0.0018067464792031,-0.0036602109213993,0.203125,0.890625,0
934,0.012078057235587,0.0020780572355873,0.18388174779953,-0.00098339511011043,-0.0030080112394621,0.203125,0.921875,0
966,0.011903678840186,0.001903678840186,0.19582465412331,-0.00033830169232038,-0.0020681782335369,0.203125,0.953125,0
998,0.011900327377153,0.0019003273771534,0.20813942990138,7.5935544542448e-05,-0.00080743721260821,0.203125,0.984375,0
6,0.012755354049498,0.0027553540494976,0.011886165983743,-2.5564810198484e-05,0.00067903457717224,0.203125,0.015625,0
38,0.012820426101896,0.0028204261018964,0.012122983147835,-0.00029429076182709,0.002783456194166,0.203125,0.046875,0
70,0.013076555985918,0.0030765559859181,0.012846271162588,-0.00087134938936487,0.0045248365153941,0.203125,0.078125,0
102,0.013424966360224,0.0034249663602241,0.01399833952653,-0.0016706096333964,0.0059186310673674,0.203125,0.109375,0
134,0.01376012461336,0.0037601246133605,0.015556386187656,-0.0026300085270997,0.0069823989734161,0.203125,0.140625,0
166,0.014027760815692,0.0040277608156915,0.017514831379724,-0.0036969989381567,0.0077387373231491,0.203125,0.171875,0
198,0.014204449763081,0.0042044497630806,0.019872527293019,-0.0048232019134689,0.0082119480352833,0.203125,0.203125,0
230,0.014284038260609,0.0042840382606093,0.022628930029022,-0.0059641984359301,0.008426687846513,0.203125,0.234375,0
262,0.014269483000914,0.0042694830009136,0.025783622598684,-0.00707994011404,0.0084075966933341,0.203125,0.265625,0
294,0.014168673140864,0.0041686731408643,0.029336324822975,-0.0081348830680988,0.0081792276298027,0.203125,0.296875,0
326,0.013992512867237,0.0039925128672369,0.033286860607464,-0.0090979892450025,0.0077660496944688,0.203125,0.328125,0
358,0.013754145190919,0.0037541451909193,0.037635116751218,-0.0099427141313949,0.0071924669483553,0.203125,0.359375,0
390,0.013468807264446,0.0034688072644458,0.042381020639422,-0.010647000951738,0.0064828402291482,0.203125,0.390625,0
422,0.013154139698816,0.0031541396988161,0.047524531197259,-0.011193274628892,0.0056615090655545,0.203125,0.421875,0
454,0.012830889515884,0.0028308895158838,0.053065634021172,-0.011568427758704,0.0047528134865256,0.203125,0.453125,0
486,0.012523832445411,0.0025238324454107,0.059004327625241,-0.011763793207883,0.0037811118861563,0.203125,0.484375,0
518,0.01226211957836,0.0022621195783602,0.065340581478597,-0.011775101679491,0.0027707765718533,0.203125,0.515625,0
550,0.012076776857739,0.0020767768577392,0.0720742753941,-0.011602408907633,0.0017461228765039,0.203125,0.546875,0
